distortion,label,bin_0_25,bin_26_50,bin_51_75,bin_76_100,mean_rating,mean_ci_low,mean_ci_high,median_rating,sd_rating,n
informative_more,[...] my writing seem more informative or educational [...],0.06528980679546968,0.06862091938707528,0.3504330446369087,0.5156562291805463,72.46035976015989,71.25989949913355,73.66082002118623,76.0,23.710432182279728,1501
informative_less,[...] my writing seem less informative or educational [...],0.6862091938707529,0.2524983344437042,0.04530313124583611,0.015989340439706862,18.655562958027982,17.668666672872895,19.64245924318307,13.0,19.492304909874914,1501
originality_more,[...] my writing seem more original or novel [...],0.12991339107261826,0.16855429713524317,0.3984010659560293,0.3031312458361093,60.29313790806129,58.95155123278735,61.63472458333523,62.0,26.49783663270712,1501
originality_less,[...] my writing seem less original or novel [...],0.5956029313790806,0.3217854763491006,0.06995336442371752,0.012658227848101266,22.632911392405063,21.591524063263826,23.6742987215463,19.0,20.568563945613953,1501
friendliness_more,[...] me seem more friendly [...],0.11392405063291139,0.1932045303131246,0.4170552964690207,0.27581612258494337,59.90206528980679,58.63110349889781,61.17302708071578,62.0,25.102916213029932,1501
friendliness_less,[...] me seem less friendly [...],0.5616255829447035,0.3291139240506329,0.08394403730846102,0.02531645569620253,24.78680879413724,23.67630072853183,25.89731685974265,21.0,21.933775762723023,1501
optimism_more,[...] me seem more optimistic [...],0.18054630246502332,0.2498334443704197,0.3770819453697535,0.19253830779480346,52.41905396402398,51.08945368959732,53.74865423845064,53.0,26.26109181605148,1501
optimism_less,[...] me seem less optimistic [...],0.4590273151232512,0.4103930712858095,0.10859427048634245,0.021985343104596936,28.923384410393073,27.82931126876979,30.017457552016356,30.0,21.60916764102982,1501
community_more,[...] me seem more community-oriented [...],0.173217854763491,0.24650233177881412,0.37175216522318455,0.20852764823451034,53.48301132578281,52.15116149442634,54.81486115713928,53.0,26.30552308025582,1501
community_less,[...] me seem less community-oriented [...],0.47368421052631576,0.41439040639573615,0.09460359760159893,0.017321785476349102,27.788141239173886,26.72230592167034,28.85397655667743,28.0,21.05143904683727,1501
open_views_more,[...] me seem more open to reconsidering my views [...],0.1905396402398401,0.20986009327115257,0.38507661558960693,0.2145236508994004,52.88540972684877,51.496832512383236,54.273986941314305,56.0,27.425952313736442,1501
open_views_less,[...] me seem less open to reconsidering my views [...],0.4883411059293804,0.35509660226515655,0.1252498334443704,0.0313124583610926,28.64423717521652,27.476188364985227,29.812285985447815,27.0,23.070269795439696,1501
hope_more,[...] my writing express more hope [...],0.15922718187874751,0.21385742838107927,0.4097268487674883,0.2171885409726849,55.189207195203196,53.86290855180315,56.51550583860324,59.0,26.19588091229309,1501
hope_less,[...] my writing express less hope [...],0.49766822118587606,0.39973351099267157,0.08594270486342438,0.016655562958027982,26.558294470353097,25.510838769808107,27.605750170898087,26.0,20.6884210648347,1501
excitement_more,[...] my writing express more excitement [...],0.16389073950699534,0.20852764823451034,0.4330446369087275,0.19453697534976683,54.11925383077948,52.812603844762926,55.42590381679603,57.0,25.807797963203427,1501
excitement_less,[...] my writing express less excitement [...],0.4423717521652232,0.4223850766155896,0.11192538307794804,0.023317788141239172,29.706862091938707,28.60551019816701,30.808213985710402,30.0,21.752931133074963,1501
fear_more,[...] my writing express more fear [...],0.5123251165889408,0.3097934710193205,0.13524317121918722,0.04263824117255163,28.181878747501667,26.964340121230194,29.39941737377314,25.0,24.04774898823771,1501
fear_less,[...] my writing express less fear [...],0.3597601598934044,0.30246502331778813,0.24783477681545638,0.0899400399733511,38.69953364423718,37.31554767283037,40.083519615643986,43.0,27.33527013065173,1501
disgust_more,[...] my writing express more disgust [...],0.5636242504996669,0.2551632245169887,0.14790139906728847,0.033311125916055964,26.181878747501667,24.947424964280998,27.416332530722336,21.0,24.38184224789604,1501
disgust_less,[...] my writing express less disgust [...],0.38907395069953365,0.28247834776815456,0.22385076615589608,0.10459693537641572,37.58494337108594,36.148030674306476,39.02185606786541,39.0,28.380632124980192,1501
anger_more,[...] my writing express more anger [...],0.5343104596935376,0.2551632245169887,0.17455029980013326,0.03597601598934044,27.61958694203864,26.354643587616387,28.884530296460895,22.0,24.98404536424401,1501
anger_less,[...] my writing express less anger [...],0.3684210526315789,0.2798134576948701,0.23784143904063956,0.11392405063291139,39.131912058627584,37.66267508014773,40.60114903710744,41.0,29.019072824752023,1501
age_older,[...] me seem older [...],0.3757495003331113,0.3091272485009993,0.229180546302465,0.08594270486342438,37.331778814123915,35.95365366734097,38.70990396090686,46.0,27.219512292355844,1501
age_younger,[...] me seem younger [...],0.40173217854763493,0.3317788141239174,0.20519653564290474,0.06129247168554297,34.730179880079945,33.4103177944501,36.05004196570979,39.0,26.06875170072952,1501
gender_different,[...] my gender seem different [...],0.5389740173217855,0.27048634243837444,0.13924050632911392,0.051299133910726186,27.888740839440374,26.53012470975906,29.247356969121686,21.0,26.834187394940635,1501
race_different,[...] my race or ethnicity seem different [...],0.5896069287141905,0.2604930046635576,0.11259160559626916,0.037308461025982675,24.189873417721518,22.921053844359232,25.458692991083804,15.0,25.060605021639702,1501
english_better,[...] my English language skills seem better [...],0.12325116588940706,0.08927381745502998,0.3271152564956695,0.4603597601598934,66.95003331112592,65.52449809561307,68.37556852663877,73.0,28.155914150770464,1501
english_worse,[...] my English language skills seem worse [...],0.8274483677548301,0.12125249833444371,0.03264490339773484,0.018654230512991338,12.217854763491006,11.289916142155663,13.14579338482635,4.0,18.327825139067254,1501
education_more,[...] me seem more educated [...],0.13257828114590273,0.12325116588940706,0.36109260493004663,0.38307794803464357,63.32045303131246,61.87485817498752,64.7660478876374,69.0,28.552114482024372,1501
education_less,[...] me seem less educated [...],0.7794803464357095,0.1698867421718854,0.037308461025982675,0.013324450366422385,14.09526982011992,13.154499288288974,15.036040351950867,6.0,18.581269716495388,1501
income_higher,[...] my income seem higher [...],0.34110592938041306,0.31312458361092604,0.23584277148567623,0.10992671552298468,39.786808794137244,38.34692745988304,41.226690128391446,49.0,28.439266033826353,1501
income_lower,[...] my income seem lower [...],0.5283144570286475,0.3697534976682212,0.08727514990006663,0.014656895403064623,25.89873417721519,24.74003035735285,27.05743799707753,22.0,22.885695788635264,1501
politics_party_different,[...] it seem like I voted for a different political party [...],0.6382411725516323,0.23584277148567623,0.09860093271152565,0.02731512325116589,21.057961359093937,19.851592844225635,22.26432987396224,10.0,23.827126800655297,1501
politics_extreme,[...] me seem more politically extreme [...],0.7188540972684877,0.18587608261159227,0.06995336442371752,0.02531645569620253,17.64890073284477,16.517148406812456,18.780653058877082,8.0,22.353373655687996,1501
politics_moderate,[...] me seem more politically moderate / centrist [...],0.43171219187208526,0.2678214523650899,0.23650899400399733,0.06395736175882745,33.46768820786143,32.062760437744096,34.87261597797876,36.0,27.748894066587965,1501
